工作計畫名稱及預算數(僅列補助團體私人預算金額),補助事項或用途,補助對象團體全銜或私人姓名        ,核准日期,補助計畫案總經費及分攤情形-本機關補助金額,補助計畫案總經費及分攤情形-他機關補助金額,補助計畫案總經費及分攤情形-團體或私人自付金額,補助計畫案總經費及分攤情形-合計,截至本季累計撥款金額,分攤補助款機關名稱及金額(請逐一填列),有無涉及財物或勞務採購,處理方式(如未涉及採購則毋須填列如採公開招標請填列得標廠商),是否為除外規定之民間團體-是,是否為除外規定之民間團體-否
國民中學學務管理及獎補助(3000000元),,,,,,,0,0,,,,,
中央補助國民中學教育經費(0元),補助國中畢業生多元進路宣導說明會經費,慈濟學校財團法人慈濟大學附屬高級中學,102.05.01,1696,0,0,1696,1696,,無,,v,
,補助國中畢業生多元進路宣導說明會經費,財團法人臺灣省花蓮縣私立海星高級中學,102.05.01,3200,0,0,3200,3200,,無,,v,
國民小學學務管理及獎補助(3019000元),補助辦理「遠哲科學紮根體驗營」活動經費,財團法人遠哲科學教育基金會,102.01.16,20000,0,0,20000,20000,,無,,v,
,478431號調查費,財團法人花蓮縣私立海星國民小學,102.01.30,4000,0,0,4000,4000,,無,,v,
,101學年第2學期縣課輔經費,財團法人臺灣省花蓮縣私立海星高級中學,102.04.23,564243,0,0,564243,564243,,無,,v,
,101學年第2學期縣課輔經費,財團法人花蓮縣私立海星國民小學,102.04.23,373996,0,0,373996,373996,,無,,v,
,101學年第2學期縣課輔經費(國中),慈濟學校財團法人慈濟大學附屬高級中學,102.04.23,425980,0,0,425980,425980,,無,,v,
,101學年第2學期縣課輔經費(國小),慈濟學校財團法人慈濟大學附屬高級中學,102.04.23,315626,0,0,315626,315626,,無,,v,
中央補助國民小學教育經費(0元),102年度國民小學充實行政人力第一期款,財團法人花蓮縣私立海星國民小學,102.03.05,300000,0,0,300000,300000,,無,,v,
,102年度國民小學充實行政人力第一期款-慈濟附小,慈濟學校財團法人慈濟大學附屬高級中學,102.03.05,300000,0,0,300000,300000,,無,,v,
幼兒教育管理及獎補助(0元),101學年度幼兒園輔導計畫方案二,花蓮縣私立佳姿幼兒園,102.03.06,44010,0,0,44010,44010,,無,,v,
中央補助幼兒教育經費(45000元),101學年第2學期5歲幼兒免學費教育計畫-行政作業,國立東華大學,102.04.17,280,0,0,280,280,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立國恩幼兒園,102.04.17,100,0,0,100,100,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立小樹幼兒園,102.04.17,580,0,0,580,580,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,財團法人天主教會花蓮教區附設花蓮縣私立德蕾幼兒園,102.04.17,200,0,0,200,200,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立吳甦樂幼兒園,102.04.17,1200,0,0,1200,1200,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,私立海星高級中學附設花蓮縣海星幼兒園,102.04.17,940,0,0,940,940,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,財團法人天主教會花蓮教區附設花蓮縣私立安德幼兒園,102.04.18,340,0,0,340,340,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立小Y幼兒園,102.04.18,600,0,0,600,600,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立YY幼兒園,102.04.18,600,0,0,600,600,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,財團法人天主教會花蓮教區附設花蓮縣私立書樂幼兒園,102.04.18,480,0,0,480,480,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立爾雅之家蒙特梭利幼兒園,102.04.18,300,0,0,300,300,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立普慧幼兒園,102.04.18,60,0,0,60,60,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立安琪兒幼兒園,102.04.18,140,0,0,140,140,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立康乃兒幼兒園,102.04.18,20,0,0,20,20,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立妙賢幼兒園,102.04.18,680,0,0,680,680,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立健心幼兒園,102.04.18,820,0,0,820,820,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立佳姿幼兒園,102.04.18,1160,0,0,1160,1160,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立貓頭鷹幼兒園,102.04.18,200,0,0,200,200,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立愛彌兒幼兒園,102.04.18,140,0,0,140,140,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立恩典幼兒園,102.04.18,1000,0,0,1000,1000,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立毛毛虫幼兒園,102.04.18,440,0,0,440,440,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,財團法人天主教會花蓮教區附設花蓮縣私立欣欣幼兒園,102.04.18,280,0,0,280,280,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立台大幼兒園,102.04.18,780,0,0,780,780,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立怡兒寶幼兒園,102.04.18,300,0,0,300,300,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,財團法人天主教會花蓮教區附設花蓮縣私立明德幼兒園,102.04.18,200,0,0,200,200,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立欣怡幼兒園,102.04.18,1020,0,0,1020,1020,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立熊熊森林幼兒園,102.04.18,420,0,0,420,420,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立咪咪幼兒園,102.04.18,320,0,0,320,320,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立三立芳幼兒園,102.04.18,940,0,0,940,940,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,慈濟學校財團法人慈濟大學附屬高級中學,102.04.18,1280,0,0,1280,1280,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立幼華幼兒園,102.04.18,460,0,0,460,460,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,財團法人天主教會花蓮教區附設花蓮縣私立中和幼兒園,102.04.18,260,0,0,260,260,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立真善美幼兒園,102.04.18,120,0,0,120,120,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立親親幼稚園,102.04.18,540,0,0,540,540,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立迦南美地中美幼兒園,102.04.18,280,0,0,280,280,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立晨光幼兒園,102.04.18,320,0,0,320,320,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立快樂寶貝園幼兒園,102.04.18,20,0,0,20,20,,無,,v,
,101學年度第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立何嘉仁幼兒園,102.04.18,320,0,0,320,320,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立快樂寶貝園幼兒園,102.05.17,160,0,0,160,160,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立快樂幼兒園,102.05.17,280,0,0,280,280,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立小天地幼兒園,102.05.17,100,0,0,100,100,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,財團法人北部台灣基督長老教會東部中會玉里教會附設花蓮縣私立和平幼兒園,102.05.17,500,0,0,500,500,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立培德幼兒園,102.05.17,340,0,0,340,340,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立芝?村幼兒園,102.05.17,500,0,0,500,500,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立欣怡幼兒園,102.05.17,20,0,0,20,20,,無,,v,
,101學年第2學期5歲幼兒免學費教育計畫-行政作業,花蓮縣私立小Y幼兒園,102.06.01,40,0,0,40,40,,無,,v,
特殊教育管理及獎補助(81000元),102年度區域性資優教育方案活動經費,財團法人花蓮縣私立海星國民小學,102.03.01,49500,0,0,49500,49500,,無,,v,
中央補助特殊教育經費(856000元),101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立迦南美地中美幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立爾雅之家蒙特梭利幼兒園,102.06.17,10000,0,0,10000,10000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,財團法人天主教會花蓮教區附設花蓮縣私立明德幼兒園,102.06.17,15000,0,0,15000,15000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立三立芳幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立小樹幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立小天地幼兒園,102.06.17,10000,0,0,10000,10000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立妙賢幼兒園,102.06.17,20000,0,0,20000,20000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立民勤幼兒園,102.06.17,10000,0,0,10000,10000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立國恩幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,財團法人門諾社會福利慈善事業基金會,102.06.17,45000,0,0,45000,45000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,慈濟學校財團法人慈濟大學附屬高級中學,102.06.17,20000,0,0,20000,20000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立親親幼稚園,102.06.17,10000,0,0,10000,10000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立吳甦樂幼兒園,102.06.17,45000,0,0,45000,45000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立熊熊森林幼兒園,102.06.17,10000,0,0,10000,10000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立晨光幼兒園,102.06.17,10000,0,0,10000,10000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,私立海星高級中學附設花蓮縣海星幼兒園,102.06.17,30000,0,0,30000,30000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立培德幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,財團法人天主教會花蓮教區附設花蓮縣私立安德幼兒園,102.06.17,20000,0,0,20000,20000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立幼華幼兒園,102.06.17,10000,0,0,10000,10000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立台大幼兒園,102.06.17,20000,0,0,20000,20000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立康乃兒幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立YY幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立小Y幼兒園,102.06.17,20000,0,0,20000,20000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立健心幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立貓頭鷹幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立欣怡幼兒園,102.06.17,20000,0,0,20000,20000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立毛毛虫幼兒園,102.06.17,15000,0,0,15000,15000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立立德幼兒園,102.06.17,25000,0,0,25000,25000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,財團法人天主教會花蓮教區附設花蓮縣私立中和幼兒園,102.06.17,20000,0,0,20000,20000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立咪咪幼兒園,102.06.17,40000,0,0,40000,40000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立芝?村幼兒園,102.06.17,15000,0,0,15000,15000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,財團法人天主教會花蓮教區附設花蓮縣私立書樂幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立愛彌兒幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立快樂幼兒園,102.06.17,35000,0,0,35000,35000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立怡兒寶幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,財團法人北部台灣基督長老教會東部中會玉里教會附設花蓮縣私立和平幼兒園,102.06.17,10000,0,0,10000,10000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,花蓮縣私立真善美幼兒園,102.06.17,25000,0,0,25000,25000,,無,,v,
,101學年第2學期獎補助身心障礙幼兒「招收單位」經費,財團法人天主教會花蓮教區附設花蓮縣私立欣欣幼兒園,102.06.17,5000,0,0,5000,5000,,無,,v,
社會教育管理及獎補助(638000元),舞蹈決賽經費,慈濟學校財團法人慈濟大學附屬高級中學,102.01.28,32567,0,0,32567,32567,,無,,v,
,辦理元宵燈謎晚會獎品及獎狀經費,勝安宮,102.01.28,90000,60000,975995,1125995,90000,花蓮市公所2萬元、吉安鄉公所2萬元、文化局2萬元,無,,,v
,音樂比賽經費,財團法人臺灣省花蓮縣私立海星高級中學,102.02.01,185870,0,0,185870,185870,,無,,v,
,辦理冬令花蓮縣高國中小學生作文比賽經費,中國青年救國團花蓮縣團務指導委員會,102.05.17,95000,0,0,95000,95000,,無,,v,
,音樂比賽經費,財團法人花蓮縣私立海星國民小學,102.02.01,109789,0,0,109789,109789,,無,,v,
,辦理音樂比賽經費,慈濟學校財團法人慈濟大學附屬高級中學,102.02.01,2980,0,0,2980,2980,,無,,v,
體育管理及獎補助     (14300000元),補助花蓮縣體育會102年會務推展行政經費,花蓮縣體育會,102.01.30,400000,0,0,400000,400000,,無,,v,
,辦理102年全國原住民運動會培訓費,花蓮縣體育會,102.02.06,558500,0,0,558500,558500,,無,,v,
,補助參加「102年全國北區分齡游泳錦標賽」經費,花蓮縣體育會,102.01.22,26020,0,0,26020,26020,,無,,v,
,辦理本縣各級學校運動團隊選手培訓經費,花蓮縣私立四維高級中學,102.01.29,40000,0,0,40000,40000,,無,,v,
,102年原住民運動會參賽經費,花蓮縣體育會,102.03.14,990288,0,0,990288,990288,,無,,v,
,102年花蓮縣第3屆新春盃慢速壘球錦標賽,花蓮縣慢速壘球協會,102.01.14,950000,0,0,950000,950000,,無,,v,
,辦理各競賽活動「縣長盃」第1期經費,花蓮縣體育會,102.01.30,1600000,0,320000,1920000,1600000,,無,,v,
,參加102年第15屆原住民盃全國慢速壘球錦標賽,花蓮縣體育會,102.03.13,50000,0,13984,63984,50000,,無,,v,
,參加102年全國春季分齡游泳錦標賽,花蓮縣體育會,102.03.11,52960,0,16800,69760,52960,,無,,v,
,參加102年第11屆全國壯年軟式網球錦標賽,花蓮縣體育會,102.03.11,60000,0,39600,99600,60000,,無,,v,
,辦理102年花蓮縣太魯閣盃全國青棒邀請賽,花蓮縣體育會,102.03.20,400000,0,100000,500000,400000,,無,,v,
,辦理102年花蓮縣社會乙組及青少年組棒球聯賽,花蓮縣體育會,102.03.20,200000,0,50000,250000,200000,,無,,v,
,參加102年第10屆總統盃全國溜冰錦標賽參賽經費,花蓮縣體育會,102.03.29,70000,0,45714,115714,70000,,無,,v,
,參加102第33屆全國青年盃射擊錦標賽經費,花蓮縣體育會,102.03.29,34372,0,10500,44872,34372,,無,,v,
,參加102全國青年盃健美錦標賽經費,花蓮縣體育會,102.03.29,4112,0,1100,5212,4112,,無,,v,
,參加102年全國中等學校運動會,慈濟學校財團法人慈濟大學附屬高級中學,102.03.27,1736,0,0,1736,1736,,無,,v,
,參加102年全中運對外參賽經費,四維學校財團法人花蓮縣私立四維高級中學,102.03.27,132956,0,0,132956,132956,,無,,v,
,參加102年第13屆總統盃全國空手道錦標賽經費,花蓮縣體育會,102.04.02,53160,0,18000,71160,53160,,無,,v,
,參加102年台灣區春季體育活動聯合競賽保齡球賽經費,花蓮縣體育會,102.04.02,25000,0,15560,40560,25000,,無,,v,
,辦理102年第10屆總統盃全國慢速壘球總決賽活動經費,花蓮縣體育會,102.04.19,180000,0,61600,241600,180000,,無,,v,
,辦理102年花蓮縣昇陽盃網球錦標賽活動經費,花蓮縣體育會,102.04.19,100000,0,30000,130000,100000,,無,,v,
,參加2013年第45屆全國少年籃球錦標賽經費,花蓮縣體育會,102.04.23,52480,0,16000,68480,52480,,無,,v,
,辦理2013世紀飛天龍鯉魚競技龍舟競渡嘉年華經費,花蓮縣體育會,102.04.12,2000000,400000,1283000,3683000,2000000,,無,,v,
,參加102年第8屆易簡太極拳錦標賽經費,花蓮縣體育會,102.05.03,30000,0,36560,66560,30000,,無,,v,
,辦理102年全國中等學校運動經費,台灣省花蓮縣私立中華高級工商職業學校,102.03.27,14224,0,0,14224,14224,,無,,v,
,參加102年全國小學田徑錦標賽經費,花蓮縣體育會,102.05.09,70362,0,17638,88000,70362,,無,,v,
,參加全國原住民運動會參賽經費,花蓮縣體育會,102.03.14,86160,0,0,86160,86160,,無,,v,
,辦理102年第11屆總統盃全國慢速壘球錦標賽花蓮預賽經費,花蓮縣體育會,102.05.14,120000,0,54400,174400,120000,,無,,v,
,辦理運動樂活島水域活動龍舟錦標賽運動社團建置專案,花蓮縣體育會,102.05.04,580000,4770000,0,5350000,580000,教育部體育署477萬元,無,,v,
,辦理102運動樂活島.建置維護運動地圖地方特色運動經費,花蓮縣運動推廣協會,102.05.04,90000,1450000,0,1540000,90000,教育部體育署145萬元,無,,v,
,辦理102運動樂活島原住民樂活專案及身心障礙樂活推展經費,花蓮縣運動推廣協會,102.05.04,530000,5210000,0,5740000,530000,教育部體育署521萬元,無,,v,
,辦理102年帆船體驗營活動經費,花蓮縣帆船協會,102.05.07,50000,0,21035,71035,50000,,無,,v,
,辦理102年暑期陽光熱血體驗育樂營經費,花蓮縣體育會,102.06.05,450000,0,200000,650000,450000,,無,,v,
,辦理102年度會員休閒康樂活動滾球羽球活動經費,花蓮縣教育會,102.04.23,40000,20000,110000,170000,40000,省教育會2萬元,無,,v,
中央補助國民中學教育經費(0元),補助國中畢業生多元進路宣導說明會經費,慈濟學校財團法人慈濟大學附屬高級中學,102.05.01,1696,0,0,1696,1696,,無,,v,
,補助國中畢業生多元進路宣導說明會經費,財團法人臺灣省花蓮縣私立海星高級中學,102.05.01,3200,0,0,3200,3200,,無,,v,
國民小學學務管理及獎補助(3019000元),補助辦理「遠哲科學紮根體驗營」活動經費,財團法人遠哲科學教育基金會,102.01.16,20000,0,0,20000,20000,,無,,v,
,478431號調查費,財團法人花蓮縣私立海星國民小學,102.01.30,4000,0,0,4000,4000,,無,,v,
,101學年第2學期縣課輔經費,財團法人臺灣省花蓮縣私立海星高級中學,102.04.23,564243,0,0,564243,564243,,無,,v,
,101學年第2學期縣課輔經費,財團法人花蓮縣私立海星國民小學,102.04.23,373996,0,0,373996,373996,,無,,v,
,101學年第2學期縣課輔經費(國中),慈濟學校財團法人慈濟大學附屬高級中學,102.04.23,425980,0,0,425980,425980,,無,,v,
,101學年第2學期縣課輔經費(國小),慈濟學校財團法人慈濟大學附屬高級中學,102.04.23,315626,0,0,315626,315626,,無,,v,
,辦理化學下鄉活動,中國化學會,102.07.05,75000,0,156500,231500,75000,,無,,v,
中央補助國民小學教育經費(0元),102年度國民小學充實行政人力第一期款,財團法人花蓮縣私立海星國民小學,102.03.05,300000,0,0,300000,300000,,無,,v,
,102年度國民小學充實行政人力第一期款-慈濟附小,慈濟學校財團法人慈濟大學附屬高級中學,102.03.05,300000,0,0,300000,300000,,無,,v,
幼兒教育管理及獎補助(0元),101學年度幼兒園輔導計畫方案二,花蓮縣私立佳姿幼兒園,102.03.06,44010,0,0,44010,44010,,無,,v,
,101/2學期公私立幼稚園輔導計畫方案二,花蓮縣私立佳姿幼兒園,102.08.26,44010,0,0,44010,44010,,無,,v,
,101/2學期公私立幼稚園輔導計畫方案二,財團法人天主教會花蓮教區附設花蓮縣私立安德幼兒園,102.08.26,60800,0,0,60800,60800,,無,,v,
中央補助幼兒教育經費(45000元),101學年第2學期5歲幼兒免學費教育計畫-行政作業,國立東華大學,102.04.17,280,0,0,280,280,,無,,v,
